Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	
454.021	197.767	150.410	275.115	614.020	580.646	134.606	226.388	209.549	409.195	307.717	196.640	
465.269	196.619	152.476	280.386	605.885	539.214	138.962	236.895	207.447	409.061	282.496	231.215	
464.659	197.540	154.332	287.291	604.594	544.026	139.125	250.195	202.880	405.502	248.613	280.414	
462.716	198.506	157.630	294.281	606.242	548.845	136.647	264.051	198.214	397.879	223.543	437.050	
465.655	197.907	164.828	296.922	609.073	563.136	133.669	275.529	194.981	386.306	220.272	505.634	
472.709	196.817	174.810	296.958	610.181	583.538	132.114	284.329	191.929	376.952	219.935	522.934	
476.837	198.135	178.353	307.288	606.911	579.539	132.691	293.045	187.030	370.987	217.645	535.003	
473.202	203.679	175.372	321.838	608.995	528.181	134.486	303.695	178.226	364.424	219.933	540.693	
467.537	211.580	173.686	333.546	615.237	521.966	136.348	315.262	165.714	360.501	220.948	543.640	
463.207	219.000	168.624	344.666	622.192	550.227	137.635	324.445	152.427	360.404	217.365	545.952	
458.440	224.738	158.840	354.816	631.452	561.213	139.016	329.496	140.564	356.155	220.814	542.663	
455.869	228.684	151.029	363.341	640.095	553.227	140.920	330.213	131.712	342.332	236.455	533.474	
457.654	230.599	150.570	371.558	644.462	543.030	142.860	327.713	124.990	329.465	245.181	528.890	
462.451	230.180	156.774	380.344	645.378	544.042	142.962	323.716	119.716	323.496	244.043	528.158	
467.171	227.316	164.021	387.193	649.194	544.582	139.518	318.511	117.230	313.461	252.127	523.877	
473.857	222.326	171.710	393.433	652.973	540.993	134.243	310.228	117.496	309.649	249.088	526.190	
484.826	216.453	181.269	396.283	655.917	545.984	130.592	299.230	116.553	305.688	248.768	528.118	
494.667	211.473	186.613	397.093	661.221	543.195	128.212	290.056	110.620	301.802	251.238	529.771	
500.396	208.761	186.403	397.624	668.366	538.701	124.941	283.718	103.273	297.842	253.422	531.373	
501.613	209.225	190.894	402.031	662.461	539.373	120.643	277.555	99.594	293.866	256.876	528.753	
499.770	212.897	197.534	403.480	652.855	552.000	116.708	268.961	100.514	291.730	257.084	526.322	
497.861	219.582	198.052	401.990	647.739	559.871	115.665	256.603	102.511	294.265	252.850	526.703	
498.714	229.284	192.889	400.520	643.638	555.095	118.113	242.868	104.814	296.904	252.470	525.487	
501.650	242.241	187.249	395.432	639.082	540.951	123.362	229.950	108.555	297.238	257.180	521.960	
499.784	259.313	182.103	386.628	634.101	531.657	132.773	217.421	113.486	300.829	251.460	527.759	
