Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	
460.454	197.579	148.760	280.620	613.712	544.562	140.326	238.426	204.825	409.507	289.192	223.050	
461.417	197.605	150.542	284.261	613.265	544.941	139.412	242.943	202.750	406.803	279.482	232.920	
463.816	197.306	154.976	288.237	610.763	547.582	137.341	250.516	200.917	402.252	255.306	253.761	
467.013	196.823	161.162	292.381	606.798	552.194	134.718	260.268	199.271	396.182	229.818	242.453	
470.044	196.541	167.861	297.107	602.595	558.024	132.607	271.429	197.153	388.901	217.734	169.532	
471.923	197.133	173.543	303.068	599.968	563.781	132.089	283.154	193.521	380.895	215.188	165.734	
471.975	199.436	176.629	310.756	600.993	567.416	133.332	294.823	187.249	372.920	216.969	168.036	
470.049	204.033	176.054	320.242	606.892	566.628	135.409	306.167	177.640	365.738	220.193	170.762	
466.596	210.702	171.944	331.126	616.284	561.232	137.318	316.584	165.235	359.672	223.447	173.250	
462.616	218.295	165.783	342.576	625.757	553.967	138.721	324.559	152.180	354.448	226.319	175.224	
459.437	225.251	159.705	353.585	633.182	547.446	139.715	328.707	140.898	349.422	228.983	176.378	
458.289	230.220	155.517	363.441	638.551	542.699	140.354	329.068	132.428	343.874	231.840	176.430	
459.860	232.316	154.261	371.992	642.629	540.082	140.487	326.648	126.461	337.178	235.300	175.340	
464.052	231.142	156.342	379.527	646.172	539.859	139.821	322.398	122.130	328.942	239.641	173.472	
470.129	226.859	161.689	386.433	649.802	541.852	137.980	316.870	118.485	319.270	244.829	171.471	
477.084	220.393	169.658	392.808	653.906	544.496	134.697	310.364	114.742	309.099	250.258	169.899	
483.956	213.537	178.837	398.173	658.250	545.442	130.380	303.073	110.624	300.194	254.760	168.971	
490.009	208.488	187.242	401.688	661.758	544.451	126.314	294.951	106.680	294.296	257.245	168.562	
494.862	206.967	193.077	402.898	663.110	543.432	123.579	285.657	103.955	292.069	257.461	168.376	
498.485	209.639	195.484	402.101	661.358	543.923	122.254	274.992	103.072	292.862	256.062	168.114	
501.032	216.094	194.724	400.033	656.294	545.921	121.858	263.315	103.782	295.304	254.099	167.555	
502.639	225.071	191.877	397.483	649.115	547.899	121.850	251.460	105.318	298.015	252.495	166.596	
503.352	234.715	188.407	395.121	642.120	548.178	121.825	240.508	106.937	299.996	251.774	165.269	
503.261	242.910	185.764	393.468	636.966	546.902	121.713	231.714	108.153	300.696	252.039	163.792	
502.666	247.702	185.037	392.933	634.069	545.574	121.786	226.367	108.702	299.959	253.055	162.618	
