Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	Ankle Angle Z	Knee Angle Z	Hip Angle Z	Sholder Angle Z	Elbow Angle Z	Wrist Angle Z	
452.799	198.257	150.051	275.149	614.688	599.990	134.227	225.830	210.501	408.604	304.126	205.316	
469.624	195.457	153.690	280.670	603.695	544.671	141.171	236.767	207.628	409.594	287.324	211.437	
461.631	198.421	153.676	286.893	605.190	545.305	141.885	248.838	202.305	405.335	253.776	273.889	
463.012	198.160	157.910	293.802	606.307	548.762	135.591	266.304	195.765	398.730	226.922	287.499	
464.265	199.176	162.028	299.194	609.268	553.823	130.348	277.826	191.803	388.053	216.768	145.753	
468.733	196.424	176.360	295.109	609.509	590.154	130.494	283.232	194.760	374.725	222.191	157.794	
482.904	194.509	181.343	306.581	608.214	576.153	132.634	290.275	190.124	370.104	220.126	154.605	
473.758	206.161	170.352	323.858	616.167	523.318	132.703	301.082	184.793	361.816	221.998	217.893	
467.329	209.268	178.457	329.343	614.158	533.721	135.419	318.559	159.101	363.313	220.354	168.863	
466.263	217.407	175.206	345.165	610.936	564.916	142.681	322.177	156.151	360.000	217.824	156.249	
456.740	229.824	148.586	358.896	633.753	585.526	131.692	333.917	134.115	358.137	221.134	184.619	
453.160	229.495	150.838	363.573	641.145	541.511	150.838	327.216	135.680	341.161	237.747	167.573	
462.588	227.593	151.731	370.729	644.637	540.382	138.596	331.841	121.935	329.904	243.340	181.696	
457.389	232.109	155.366	379.954	644.197	546.297	138.631	324.248	116.162	326.478	241.708	171.761	
472.042	228.138	165.163	386.939	649.310	541.567	143.673	317.088	120.687	309.184	253.633	161.284	
465.751	221.978	170.471	395.216	654.726	537.550	138.203	308.482	118.830	305.595	253.111	169.052	
488.178	216.269	182.286	392.907	659.845	541.508	124.681	297.249	118.889	311.013	240.067	183.769	
494.502	207.756	193.206	397.385	656.364	542.388	130.261	289.822	110.808	299.709	256.344	160.394	
506.253	207.980	183.192	396.756	672.693	537.980	122.634	286.814	102.611	297.040	254.462	168.636	
499.399	212.433	187.281	404.904	659.228	546.264	121.177	276.616	96.937	297.330	255.016	171.490	
495.157	210.961	198.861	403.856	651.428	548.567	114.363	270.965	100.075	291.076	255.093	172.309	
497.075	221.265	198.637	399.502	649.190	558.773	118.249	253.875	106.844	290.503	255.458	158.153	
502.879	229.977	193.830	396.946	647.388	555.767	115.033	242.675	102.538	298.710	254.483	163.338	
500.349	241.750	185.830	401.294	635.974	533.743	123.617	231.387	106.039	298.927	254.904	167.030	
499.679	259.141	182.512	384.668	634.756	537.159	135.981	216.381	115.725	299.568	252.996	163.702	
