Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
1.674	0.286	4.589	-2.439	-303.350	368.536	1.506	0.186	4.064	3.739	-79.271	-1237.002	1.227	0.604	4.321	-0.594	122.828	0.810	0.891	0.869	5.580	0.026	-494.183	121.357	0.699	1.344	3.726	0.010	247.424	0.667	0.468	1.226	4.954	-1.534	127.987	310.167	0.514	1.003	1.574	0.934	1044.692	-739.005	0.533	0.997	1.143	-7.124	1194.017	935.489	-0.028	0.193	1.977	6.239	743.026	-368.960	0.100	0.393	3.781	1.893	939.505	378.008	0.537	0.482	4.647	-1.522	569.800	809.418	0.792	0.880	4.016	-1.220	61.538	0.499	0.813	1.456	3.722	0.008	248.939	124.102	1.014	1.265	4.051	1.866	177.692	-493.911	1.034	1.389	3.689	-1.846	492.982	-60.152	1.017	1.450	5.540	-2.151	-253.215	-370.863	0.893	1.438	7.111	-0.911	-677.301	307.426	0.913	1.574	3.426	1.242	431.469	-61.251	0.821	0.974	4.360	-0.188	86.738	70.094	
1.753	0.243	7.337	-3.962	-122.729	61.087	1.580	0.198	7.069	-1.801	-70.597	-618.633	1.314	0.592	8.634	-1.187	-0.591	0.081	0.990	0.869	9.291	0.043	-124.592	-0.580	0.786	1.345	9.301	0.025	123.308	0.332	0.573	1.202	10.840	-2.132	62.140	62.325	0.601	0.991	11.450	-2.740	553.480	-307.232	0.618	0.911	11.713	-5.835	628.491	560.917	0.048	0.293	9.503	8.774	369.944	-247.015	0.213	0.443	13.180	5.675	374.479	125.974	0.655	0.471	13.043	-0.229	249.905	187.641	0.878	0.862	8.967	-1.506	62.268	62.307	0.899	1.456	9.291	0.021	123.179	0.276	1.095	1.278	8.042	0.024	-4.083	-247.202	1.127	1.346	10.136	-4.606	183.877	-60.941	1.121	1.395	10.115	-6.152	-64.317	-123.279	1.004	1.432	9.595	0.022	-308.458	122.884	0.994	1.592	8.686	1.559	122.230	-61.689	0.914	0.971	9.556	-0.327	55.650	3.233	
1.820	0.206	7.013	-4.888	57.891	-246.362	1.647	0.149	6.406	-4.896	-61.924	-0.264	1.400	0.581	8.011	-1.189	-124.010	-0.647	1.077	0.869	9.893	-0.572	244.998	-122.516	0.885	1.345	9.914	0.027	-0.809	-0.002	0.684	1.183	11.132	-2.748	-3.706	-185.517	0.743	0.948	14.529	-3.653	62.268	124.541	0.767	0.880	15.170	-2.098	62.966	186.345	0.162	0.368	11.337	6.913	-3.137	-125.069	0.363	0.506	14.100	5.675	-190.546	-126.060	0.798	0.478	13.942	-1.461	-69.991	-434.136	0.971	0.850	9.593	-0.574	62.999	124.114	0.998	1.457	9.894	-0.596	-2.582	-123.551	1.175	1.265	7.092	-1.214	-185.858	-0.493	1.237	1.296	10.429	-5.219	-125.228	-61.731	1.219	1.327	10.416	-6.147	124.582	124.305	1.085	1.438	8.354	0.328	60.384	-61.659	1.087	1.605	8.362	0.940	-187.010	-62.127	1.012	0.968	9.957	-0.629	24.562	-63.629	
1.893	0.145	6.681	-6.432	-124.164	-62.432	1.708	0.101	4.555	-4.908	-308.269	-2.284	1.474	0.569	7.080	-1.194	-62.108	-0.298	1.188	0.858	9.895	0.046	-244.649	246.175	0.984	1.345	9.897	-0.591	-2.584	-123.590	0.796	1.147	11.109	-3.674	-0.926	0.306	0.891	0.918	14.832	-3.029	-1.711	0.349	0.922	0.869	15.471	-1.475	-2.819	-61.717	0.275	0.431	12.857	5.363	307.299	-184.984	0.495	0.557	13.125	4.111	-4.328	-186.634	0.934	0.442	13.594	-3.011	0.371	124.226	1.070	0.851	9.895	-0.572	-2.573	-123.684	1.097	1.444	9.268	-0.597	-122.615	123.315	1.237	1.253	5.544	-1.218	-123.817	-0.328	1.335	1.241	8.562	-5.839	-248.333	-62.181	1.330	1.272	10.670	-9.537	-73.773	-802.215	1.171	1.438	9.575	-0.286	183.789	-61.304	1.161	1.611	8.665	0.940	247.442	62.060	1.113	0.958	9.755	-0.837	-64.921	21.954	
1.954	0.078	5.145	-6.133	-183.011	122.208	1.738	0.051	3.954	-3.676	188.097	248.781	1.542	0.557	7.684	-1.807	182.866	-122.357	1.274	0.870	10.817	0.360	428.931	-183.433	1.083	1.333	8.922	-3.374	-192.402	-432.876	0.907	1.110	11.095	-3.981	-1.818	-61.542	1.040	0.888	12.972	-2.106	-370.149	184.127	1.076	0.851	14.856	0.069	-120.275	370.583	0.419	0.475	15.967	6.306	314.583	373.495	0.626	0.588	14.657	3.805	310.659	125.331	1.070	0.418	12.678	-1.156	-183.519	246.609	1.169	0.839	11.428	-0.873	309.060	63.396	1.184	1.445	10.183	-0.903	305.518	-184.470	1.286	1.241	5.845	-1.525	184.149	-61.106	1.408	1.180	8.860	-6.143	307.979	1.410	1.433	1.137	11.262	-10.763	192.057	556.962	1.276	1.432	9.881	0.023	-122.571	123.175	1.260	1.624	9.576	0.324	-65.139	-185.254	1.208	0.951	10.240	-1.089	161.974	-72.351	
1.996	0.023	3.021	-3.988	-241.884	306.778	1.787	0.027	4.316	0.344	-115.799	555.137	1.628	0.532	7.979	-2.422	-123.760	-0.600	1.404	0.865	11.109	-0.257	-370.544	60.072	1.163	1.278	8.002	-2.448	8.340	617.946	1.017	1.067	11.386	-4.594	60.065	-61.225	1.151	0.876	12.052	-0.563	186.149	124.589	1.219	0.870	12.380	0.985	-374.892	-187.317	0.594	0.557	16.248	5.680	-258.437	-498.546	0.788	0.633	15.561	3.186	-129.861	-249.001	1.188	0.418	13.000	0.703	247.814	125.316	1.299	0.833	11.444	0.981	-305.675	307.477	1.301	1.426	10.167	-1.519	-308.683	61.122	1.354	1.223	7.077	-1.521	62.209	62.021	1.512	1.118	11.312	-6.747	182.362	-122.223	1.555	1.057	11.605	-7.669	-123.344	61.840	1.369	1.439	8.653	0.946	-123.187	61.354	1.353	1.618	8.952	0.322	-59.767	184.940	1.318	0.936	10.237	-0.561	-162.654	177.969	
2.014	-0.002	-1.857	-0.941	-733.747	302.627	1.824	0.058	1.556	1.248	-436.063	-374.205	1.701	0.508	7.670	-2.114	61.994	62.253	1.497	0.865	8.311	-1.196	-189.035	-247.815	1.243	1.284	10.249	4.042	441.108	680.178	1.134	1.018	12.622	-3.968	187.010	186.594	1.281	0.877	12.693	1.912	-57.924	370.346	1.324	0.871	11.731	-0.254	245.068	-60.620	0.744	0.589	14.941	2.876	-2.840	-62.354	0.937	0.652	17.069	1.952	431.360	2.124	1.330	0.432	14.535	1.022	59.153	-61.580	1.398	0.859	9.869	-0.570	-9.445	-617.774	1.387	1.414	8.634	-0.288	1.988	185.137	1.427	1.211	6.769	-1.212	-123.750	-0.337	1.635	1.045	5.816	-2.755	-1281.390	920.623	1.665	0.983	6.469	0.025	-903.972	1476.954	1.449	1.451	7.730	1.559	-61.325	61.442	1.439	1.630	8.025	0.629	-125.588	-123.561	1.412	0.940	9.401	0.137	-4.594	-38.434	
1.959	0.004	-1.533	0.296	798.583	-55.147	1.818	0.052	0.000	0.000	124.811	124.554	1.781	0.490	6.797	1.893	-236.610	739.153	1.570	0.841	8.929	-0.575	312.673	371.914	1.368	1.359	9.308	3.421	-629.307	-804.401	1.270	0.988	13.245	-2.726	-62.280	61.818	1.405	0.914	16.665	0.386	852.217	-675.565	1.453	0.865	16.343	-0.232	677.312	64.963	0.893	0.615	15.846	2.568	183.859	0.712	1.129	0.672	16.120	1.944	-621.098	-3.651	1.478	0.439	16.371	1.341	308.041	125.427	1.496	0.822	6.474	-0.278	-669.502	676.145	1.473	1.421	8.332	0.637	-62.241	-0.192	1.489	1.199	6.457	-1.213	61.336	0.265	1.629	1.063	5.187	-3.371	1155.610	-1043.946	1.684	1.057	6.696	-5.522	949.382	-2586.331	1.523	1.470	8.033	1.559	121.838	-61.502	1.513	1.630	8.318	0.013	184.288	0.281	1.506	0.939	8.830	0.619	-109.584	134.909	
1.984	0.004	0.299	-0.615	-432.130	-127.059	1.824	0.058	0.620	0.314	-0.838	-61.783	1.837	0.546	6.801	2.510	237.365	-615.777	1.675	0.854	8.949	1.277	-308.663	-1.555	1.429	1.353	8.642	0.640	496.231	248.057	1.399	0.964	16.048	0.375	622.800	558.383	1.614	0.884	19.745	1.938	-236.187	986.077	1.651	0.866	22.555	5.653	565.099	1112.137	1.061	0.640	16.126	1.947	-127.828	-124.755	1.260	0.691	15.459	0.702	488.975	-244.754	1.657	0.458	16.666	1.959	-248.880	-1.846	1.527	0.853	7.132	3.120	801.070	3.588	1.554	1.427	8.638	0.945	123.447	61.882	1.557	1.186	7.695	-0.591	186.109	124.040	1.738	0.977	10.675	-7.048	-58.127	308.635	1.799	0.873	8.199	-7.982	-648.812	2094.274	1.610	1.483	8.946	1.252	60.898	0.036	1.606	1.630	8.634	0.937	-121.236	184.609	1.589	0.952	9.215	1.399	186.695	20.965	
1.965	-0.009	-0.004	-0.309	371.453	188.310	1.831	0.058	-0.915	0.610	-306.184	121.102	1.917	0.540	5.236	0.648	-550.387	243.424	1.749	0.866	0.970	3.398	-1287.068	425.827	1.541	1.371	12.050	2.498	185.314	123.558	1.591	0.995	14.197	1.294	-993.030	-374.598	1.800	0.953	20.084	6.869	303.962	0.089	1.904	0.978	19.497	9.331	-1176.678	-376.526	1.216	0.654	14.825	-1.153	-132.489	-495.409	1.439	0.686	15.138	1.008	-553.169	305.858	1.812	0.478	16.047	3.494	125.020	308.906	1.639	0.884	8.024	0.963	-622.657	-434.973	1.646	1.439	9.555	0.947	59.947	-61.570	1.643	1.187	7.699	0.026	-185.254	-0.622	1.842	0.922	4.935	0.946	-1089.936	1290.050	1.848	0.898	5.556	1.567	120.230	-184.494	1.702	1.495	8.940	1.251	-62.219	-0.224	1.686	1.649	7.709	1.243	-63.732	-123.370	1.690	0.967	8.047	1.844	-420.389	68.117	
