Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Toe - X pos	Toe - Y pos	Toe - X vel	Toe - Y vel	Toe - X acl	Toe - Y acl	Ankle - X pos	Ankle - Y pos	Ankle - X vel	Ankle - Y vel	Ankle - X acl	Ankle - Y acl	Knee - X pos	Knee - Y pos	Knee - X vel	Knee - Y vel	Knee - X acl	Knee - Y acl	Hip - X pos	Hip - Y pos	Hip - X vel	Hip - Y vel	Hip - X acl	Hip - Y acl	Sholder - X pos	Sholder - Y pos	Sholder - X vel	Sholder - Y vel	Sholder - X acl	Sholder - Y acl	Elbow - X pos	Elbow - Y pos	Elbow - X vel	Elbow - Y vel	Elbow - X acl	Elbow - Y acl	Wrist - X pos	Wrist - Y pos	Wrist - X vel	Wrist - Y vel	Wrist - X acl	Wrist - Y acl	Finger - X pos	Finger - Y pos	Finger - X vel	Finger - Y vel	Finger - X acl	Finger - Y acl	Chin - X pos	Chin - Y pos	Chin - X vel	Chin - Y vel	Chin - X acl	Chin - Y acl	Forhead - X pos	Forhead - Y pos	Forhead - X vel	Forhead - Y vel	Forhead - X acl	Forhead - Y acl	CG - X pos	CG - Y pos	CG - X vel	CG - Y vel	CG - X acl	CG - Y acl	
1.926	0.061	1.343	-0.057	-62.833	1.430	1.717	0.041	1.207	0.004	-41.184	16.625	1.552	0.533	1.248	0.320	-2.224	-14.082	1.259	0.853	1.127	0.620	28.487	-18.124	1.057	1.342	1.090	0.959	49.713	-38.446	0.905	1.073	1.114	0.763	76.240	-30.086	1.052	0.900	1.225	0.823	73.727	0.615	1.095	0.864	1.252	0.836	72.092	8.488	0.333	0.481	0.788	0.294	154.660	-6.596	0.583	0.594	0.919	0.452	125.417	-12.109	1.073	0.405	1.294	0.471	81.477	23.240	1.153	0.834	1.148	0.646	44.101	-13.317	1.176	1.435	1.121	1.025	37.786	-39.575	1.281	1.214	1.103	0.906	15.091	-27.661	1.414	1.137	1.200	0.775	8.872	-35.787	1.438	1.123	1.225	0.720	8.451	-42.528	1.249	1.451	1.180	1.038	34.950	-39.349	1.240	1.622	1.170	1.166	34.086	-47.604	1.194	0.942	1.148	0.696	39.567	-19.451	
1.948	0.060	1.892	-0.070	-52.968	2.891	1.738	0.043	1.945	0.287	-31.327	18.610	1.577	0.539	2.615	0.481	8.003	-10.612	1.285	0.864	2.830	1.045	38.363	-12.980	1.084	1.358	3.063	1.450	58.901	-31.154	0.935	1.086	3.508	1.170	85.365	-23.707	1.085	0.917	3.699	1.747	83.263	6.773	1.128	0.882	3.731	1.893	81.785	14.688	0.365	0.486	4.052	0.531	165.039	-3.709	0.615	0.602	3.870	0.769	135.475	-8.993	1.108	0.417	3.963	1.352	91.684	27.348	1.181	0.846	3.103	1.171	53.781	-8.098	1.203	1.452	2.951	1.578	47.308	-31.526	1.305	1.230	2.574	1.506	24.459	-20.424	1.440	1.149	2.679	1.116	18.557	-28.949	1.464	1.134	2.723	0.900	18.140	-35.936	1.277	1.469	3.033	1.606	44.866	-31.309	1.268	1.642	2.998	1.749	43.917	-38.866	1.222	0.955	3.035	1.186	49.299	-13.759	
1.964	0.059	1.411	-0.034	-43.104	4.351	1.756	0.047	1.681	0.483	-21.470	20.595	1.604	0.543	2.747	0.392	18.229	-7.142	1.315	0.874	3.263	0.941	48.238	-7.836	1.118	1.371	3.698	1.175	68.090	-23.862	0.975	1.097	4.407	0.965	94.489	-17.328	1.126	0.935	4.579	1.846	92.798	12.931	1.170	0.902	4.597	2.071	91.478	20.887	0.414	0.491	5.754	0.509	175.419	-0.823	0.660	0.609	5.275	0.694	145.533	-5.878	1.152	0.432	4.931	1.646	101.891	31.456	1.215	0.858	3.689	1.116	63.461	-2.880	1.235	1.467	3.472	1.303	56.831	-23.477	1.332	1.244	2.865	1.338	33.828	-13.187	1.467	1.159	2.913	0.861	28.243	-22.111	1.493	1.141	2.953	0.574	27.829	-29.343	1.309	1.483	3.531	1.333	54.781	-23.270	1.300	1.657	3.486	1.404	53.748	-30.128	1.255	0.966	3.577	1.077	59.031	-8.067	
1.976	0.059	1.031	0.016	-32.885	5.701	1.772	0.053	1.515	0.696	-11.691	22.096	1.632	0.546	2.975	0.338	27.483	-3.679	1.350	0.883	3.787	0.888	56.546	-2.787	1.158	1.381	4.415	0.973	75.316	-16.462	1.024	1.105	5.385	0.824	101.074	-10.874	1.176	0.954	5.542	2.003	99.764	18.510	1.220	0.924	5.548	2.307	98.610	26.335	0.480	0.496	7.539	0.514	181.566	1.890	0.720	0.616	6.763	0.651	151.957	-2.837	1.207	0.450	5.987	1.977	109.320	34.719	1.255	0.869	4.363	1.112	71.259	2.141	1.272	1.478	4.079	1.109	64.611	-15.351	1.362	1.257	3.244	1.242	41.963	-6.026	1.498	1.166	3.238	0.675	36.774	-15.103	1.524	1.146	3.274	0.315	36.353	-22.396	1.347	1.495	4.120	1.141	62.981	-15.168	1.338	1.670	4.064	1.147	61.892	-21.223	1.293	0.976	4.207	1.024	66.962	-2.492	
1.985	0.060	0.754	0.079	-22.701	6.888	1.786	0.061	1.445	0.922	-2.379	23.042	1.663	0.550	3.289	0.318	35.373	-0.355	1.391	0.891	4.384	0.884	62.909	1.966	1.206	1.390	5.193	0.845	80.222	-9.235	1.083	1.113	6.414	0.747	104.779	-4.598	1.237	0.975	6.560	2.212	103.796	23.270	1.281	0.948	6.555	2.593	102.819	30.787	0.564	0.502	9.362	0.545	183.105	4.321	0.795	0.622	8.295	0.637	154.381	0.005	1.272	0.472	7.102	2.335	113.590	36.976	1.302	0.880	5.103	1.157	76.799	6.759	1.316	1.489	4.754	0.995	70.282	-7.464	1.397	1.269	3.696	1.215	48.504	0.774	1.532	1.172	3.641	0.558	43.771	-8.187	1.558	1.148	3.672	0.126	43.344	-15.360	1.392	1.506	4.780	1.029	69.082	-7.322	1.381	1.680	4.714	0.978	67.971	-12.496	1.339	0.987	4.905	1.025	72.721	2.743	
1.991	0.061	0.575	0.153	-12.939	7.865	1.800	0.071	1.463	1.154	6.095	23.377	1.698	0.553	3.674	0.329	41.543	2.699	1.438	0.900	5.034	0.925	67.004	6.231	1.262	1.398	6.007	0.786	82.526	-2.465	1.152	1.120	7.465	0.730	105.332	1.254	1.307	0.999	7.602	2.463	104.615	26.990	1.351	0.975	7.588	2.917	103.812	34.026	0.667	0.507	11.177	0.599	179.781	6.371	0.886	0.628	9.829	0.649	152.540	2.533	1.349	0.497	8.241	2.710	114.387	38.097	1.357	0.892	5.886	1.244	79.780	10.780	1.368	1.498	5.473	0.957	73.539	-0.120	1.436	1.281	4.204	1.254	53.136	6.936	1.571	1.178	4.104	0.509	48.908	-1.632	1.597	1.148	4.131	0.007	48.469	-8.496	1.443	1.516	5.490	0.992	72.767	-0.039	1.432	1.689	5.412	0.894	71.665	-4.286	1.391	0.997	5.649	1.076	75.996	7.426	
1.996	0.063	0.491	0.235	-3.974	8.589	1.815	0.084	1.561	1.386	13.390	23.061	1.737	0.556	4.110	0.370	45.683	5.360	1.492	0.910	5.712	1.005	68.564	9.828	1.326	1.406	6.829	0.792	82.008	3.581	1.232	1.128	8.504	0.768	102.555	6.450	1.389	1.025	8.635	2.745	102.022	29.478	1.432	1.006	8.614	3.266	101.391	35.870	0.788	0.514	12.933	0.670	171.466	7.947	0.992	0.635	11.323	0.685	146.286	4.639	1.437	0.526	9.371	3.091	111.516	37.981	1.420	0.905	6.684	1.368	79.954	14.027	1.426	1.508	6.211	0.988	74.140	6.380	1.481	1.294	4.748	1.350	55.596	12.208	1.614	1.183	4.608	0.523	51.901	4.303	1.641	1.148	4.631	-0.046	51.448	-2.055	1.502	1.526	6.222	1.024	73.779	6.391	1.490	1.698	6.134	0.888	72.722	3.088	1.452	1.008	6.412	1.170	76.538	11.356	
2.001	0.066	0.490	0.323	3.861	9.027	1.832	0.099	1.724	1.612	19.197	22.072	1.780	0.560	4.576	0.434	47.550	7.526	1.552	0.920	6.392	1.117	67.412	12.603	1.399	1.414	7.632	0.853	78.537	8.662	1.322	1.136	9.499	0.855	96.353	10.779	1.480	1.054	9.625	3.046	95.925	30.583	1.524	1.041	9.598	3.626	95.453	36.175	0.926	0.521	14.581	0.755	158.179	8.982	1.112	0.642	12.733	0.740	135.595	6.234	1.536	0.559	10.453	3.464	104.862	36.559	1.491	0.919	7.470	1.520	77.173	16.352	1.492	1.518	6.941	1.079	71.927	11.780	1.531	1.308	5.305	1.492	55.685	16.363	1.663	1.188	5.130	0.591	52.544	9.394	1.690	1.147	5.148	-0.037	52.069	3.718	1.567	1.536	6.951	1.114	71.939	11.708	1.555	1.707	6.852	0.950	70.962	9.329	1.520	1.020	7.165	1.299	74.192	14.368	
2.006	0.069	0.561	0.414	10.257	9.152	1.850	0.116	1.936	1.824	23.265	20.407	1.828	0.565	5.049	0.517	46.972	9.099	1.619	0.932	7.046	1.252	63.436	14.427	1.479	1.423	8.385	0.959	72.063	12.573	1.422	1.145	10.414	0.979	86.740	14.060	1.581	1.085	10.536	3.350	86.330	30.190	1.624	1.079	10.506	3.981	85.998	34.848	1.080	0.529	16.073	0.847	140.063	9.416	1.246	0.650	14.014	0.807	120.560	7.238	1.646	0.595	11.449	3.815	94.440	33.805	1.569	0.935	8.213	1.690	71.361	17.631	1.565	1.529	7.635	1.217	66.819	15.856	1.587	1.324	5.849	1.670	53.281	19.212	1.717	1.194	5.646	0.705	50.688	13.431	1.744	1.147	5.660	0.024	50.194	8.613	1.641	1.548	7.646	1.251	67.154	15.686	1.627	1.717	7.539	1.068	66.290	14.188	1.595	1.034	7.881	1.452	68.870	16.315	
2.012	0.074	0.687	0.505	14.970	8.948	1.870	0.135	2.179	2.017	25.398	18.083	1.881	0.571	5.503	0.613	43.843	10.014	1.693	0.945	7.646	1.400	56.616	15.201	1.566	1.433	9.059	1.098	62.629	15.143	1.530	1.155	11.217	1.130	73.830	16.146	1.691	1.120	11.335	3.642	73.338	28.236	1.734	1.120	11.301	4.315	73.129	31.843	1.247	0.538	17.360	0.940	117.414	9.217	1.393	0.658	15.123	0.881	101.417	7.600	1.765	0.635	12.323	4.133	80.361	29.730	1.655	0.953	8.882	1.867	62.542	17.777	1.644	1.542	8.263	1.388	58.825	18.421	1.648	1.342	6.357	1.869	48.326	20.608	1.776	1.202	6.131	0.854	46.272	16.248	1.803	1.148	6.140	0.130	45.753	12.442	1.720	1.561	8.279	1.420	59.425	18.154	1.705	1.729	8.164	1.226	58.709	17.459	1.677	1.049	8.528	1.619	60.589	17.090	
